Date,Open,Low,High,Close,Volume
2025-07-03 09:24:00,109340.91,109306.01,109344.94,109330.6,40907474.48888889
2025-07-03 09:25:00,109342.48,109333.66,109342.48,109338.47,40936035.55555555
2025-07-03 09:26:00,109333.66,109314.2,109374.9,109314.2,40936035.55555555
2025-07-03 09:27:00,109306.29,109306.29,109335.32,109308.36,40925502.57777778
2025-07-03 09:28:00,109334.81,109327.11,109334.81,109332.32,40889617.06666667
2025-07-03 09:29:00,109332.3,109313.36,109364.38,109364.38,40926802.48888889
2025-07-03 09:30:00,109392.39,109390.32,109553.24,109553.24,40957602.13333333
2025-07-03 09:31:00,109575.22,109575.22,109741.92,109672.05,40957602.13333333
2025-07-03 09:32:00,109716.23,109686.65,109830.99,109830.99,41006085.68888889
2025-07-03 09:33:00,109857.3,109826.15,109889.81,109870.32,41006085.68888889
2025-07-03 09:34:00,109884.64,109814.51,109891.45,109861.25,40361733.68888889
2025-07-03 09:35:00,109861.34,109770.44,109915.33,109868.02,40256182.04444444
2025-07-03 09:36:00,109877.41,109809.98,109933.4,109933.4,40389694.57777778
2025-07-03 09:37:00,109906.25,109894.22,110041.95,110040.55,40391216.35555556
2025-07-03 09:38:00,110032.75,110005.5,110120.12,110059.42,40519773.86666667
2025-07-03 09:39:00,109936.79,109870.58,109955.58,109955.58,40540177.06666667
2025-07-03 09:40:00,109950.79,109857.61,109995.3,109857.61,40167210.666666664
2025-07-03 09:41:00,109836.44,109834.89,109950.0,109950.0,40167210.666666664
2025-07-03 09:42:00,109954.45,109931.62,110167.79,110167.79,40527240.53333333
2025-07-03 09:43:00,110185.5,109838.0,110185.5,110127.92,40527240.53333333
2025-07-03 09:44:00,110128.61,110118.69,110159.79,110159.12,40736449.42222222
2025-07-03 09:45:00,110156.2,110130.62,110275.39,110259.16,40736449.42222222
2025-07-03 09:46:00,110236.58,109971.82,110255.34,110056.23,40682678.04444444
2025-07-03 09:47:00,110079.75,110065.14,110207.55,110207.55,40765056.0
2025-07-03 09:48:00,110181.1,110117.32,110247.17,110168.65,40765056.0
2025-07-03 09:49:00,110186.17,110180.62,110439.25,110341.61,40859491.55555555
2025-07-03 09:50:00,110372.96,110323.8,110473.75,110323.8,40860754.48888889
2025-07-03 09:51:00,110255.65,110208.21,110424.33,110424.33,40860754.48888889
2025-07-03 09:52:00,110420.02,110355.28,110438.05,110355.28,40925482.666666664
2025-07-03 09:53:00,110330.77,110255.75,110449.99,110449.99,41145531.733333334
2025-07-03 09:54:00,110414.8,110368.26,110455.2,110368.26,40838553.6
2025-07-03 09:55:00,110395.49,110365.56,110463.48,110432.67,41165909.333333336
2025-07-03 09:56:00,110378.98,110341.84,110446.17,110437.03,41183960.177777775
2025-07-03 09:57:00,110447.45,110447.45,110570.31,110560.0,41171182.93333333
2025-07-03 09:58:00,110555.56,110348.88,110559.98,110369.02,41240527.64444444
2025-07-03 09:59:00,110351.61,110267.8,110354.91,110319.81,41117289.244444445
2025-07-03 10:00:00,110340.26,110296.14,110389.82,110374.98,41241764.97777778
2025-07-03 10:01:00,110400.93,110349.84,110422.08,110367.32,41241764.97777778
2025-07-03 10:02:00,110488.32,110483.67,110547.15,110547.15,41344230.4
2025-07-03 10:03:00,110547.17,110500.01,110567.81,110500.02,41412778.666666664
2025-07-03 10:04:00,110500.0,110357.75,110535.71,110357.75,41360770.844444446
2025-07-03 10:05:00,110392.75,110200.03,110392.75,110355.0,41260239.64444444
2025-07-03 10:06:00,110372.31,110335.73,110526.02,110338.68,41339508.62222222
2025-07-03 10:07:00,110340.18,110310.44,110399.32,110337.6,41513947.02222222
2025-07-03 10:08:00,110324.12,110157.6,110324.12,110200.18,41592610.13333333
2025-07-03 10:09:00,110181.51,110065.81,110220.41,110178.83,41502370.13333333
2025-07-03 10:10:00,110163.46,110089.29,110179.78,110150.47,41475575.46666667
2025-07-03 10:11:00,110147.12,110128.8,110236.07,110190.62,41475575.46666667
2025-07-03 10:12:00,110228.34,110185.36,110271.3,110271.3,41483366.4
2025-07-03 10:13:00,110260.77,110039.72,110260.77,110039.72,41515812.97777778
2025-07-03 10:14:00,110050.56,109977.47,110056.27,110018.19,41554724.97777778
2025-07-03 10:15:00,110058.19,110035.19,110087.4,110087.4,41561691.02222222
2025-07-03 10:16:00,110084.36,110041.72,110116.68,110100.0,42289513.244444445
2025-07-03 10:17:00,110081.08,110081.08,110196.86,110135.36,41556701.86666667
2025-07-03 10:18:00,110147.77,110138.94,110219.35,110219.35,41543958.755555555
2025-07-03 10:19:00,110217.03,110217.03,110306.41,110304.22,41565323.37777778
2025-07-03 10:20:00,110309.2,110261.65,110310.59,110294.0,42283207.11111111
2025-07-03 10:21:00,110310.57,110255.65,110322.65,110258.88,42283207.11111111
2025-07-03 10:22:00,110251.72,110248.02,110363.57,110363.57,41215655.822222225
2025-07-03 10:23:00,110412.05,110344.85,110421.27,110377.55,40492603.733333334
2025-07-03 10:24:00,110369.61,110288.0,110369.61,110293.74,40568413.86666667
2025-07-03 10:25:00,110277.52,110161.33,110277.52,110213.21,40606099.91111111
2025-07-03 10:26:00,110181.51,110052.12,110181.51,110078.44,42375116.8
2025-07-03 10:27:00,110097.7,110051.7,110135.89,110051.7,42375116.8
2025-07-03 10:28:00,110075.17,110002.13,110075.17,110002.13,42314407.822222225
2025-07-03 10:29:00,109980.75,109914.78,109989.08,109980.76,41480351.28888889
2025-07-03 10:30:00,109964.11,109835.17,109988.23,109835.17,41480351.28888889
2025-07-03 10:31:00,109884.91,109827.77,109947.58,109902.03,40561524.62222222
2025-07-03 10:32:00,109915.73,109850.0,109915.97,109850.0,41578584.177777775
2025-07-03 10:33:00,109798.0,109705.15,109798.0,109715.95,41499093.333333336
2025-07-03 10:34:00,109717.48,109717.48,109888.74,109888.74,41511094.04444444
2025-07-03 10:35:00,109888.74,109877.6,109956.65,109921.72,41478400.0
2025-07-03 10:36:00,109880.43,109876.93,109976.04,109976.04,41558308.97777778
2025-07-03 10:37:00,109989.18,109967.62,110000.0,109967.62,41579272.53333333
2025-07-03 10:38:00,109933.98,109906.52,109975.23,109940.35,41588684.8
2025-07-03 10:39:00,109934.14,109923.01,109980.57,109923.01,41601621.333333336
2025-07-03 10:40:00,109937.99,109904.42,109949.55,109932.1,41567470.93333333
2025-07-03 10:41:00,109950.02,109931.27,109986.18,109939.13,41675665.06666667
2025-07-03 10:42:00,109960.23,109886.04,109989.61,109886.04,41675665.06666667
2025-07-03 10:43:00,109878.79,109878.79,109982.46,109959.42,41724748.8
2025-07-03 10:44:00,109942.6,109912.1,109949.09,109918.62,41693496.88888889
2025-07-03 10:45:00,109928.85,109830.22,109934.31,109834.43,41726156.8
2025-07-03 10:46:00,109841.98,109793.74,109847.44,109819.13,41647681.42222222
2025-07-03 10:47:00,109810.12,109810.12,109855.36,109834.79,41744620.08888889
2025-07-03 10:48:00,109841.34,109829.5,109916.26,109916.26,41771315.2
2025-07-03 10:49:00,109916.26,109799.97,109916.26,109799.97,41771315.2
2025-07-03 10:50:00,109808.87,109772.18,109829.24,109805.83,42272520.53333333
2025-07-03 10:51:00,109797.73,109689.45,109797.74,109730.58,42272520.53333333
2025-07-03 10:52:00,109722.36,109660.01,109722.36,109660.01,42328234.666666664
2025-07-03 10:53:00,109653.13,109653.13,109705.03,109705.03,42328234.666666664
2025-07-03 10:54:00,109705.02,109624.93,109731.42,109624.93,41462610.48888889
2025-07-03 10:55:00,109640.0,109619.92,109701.22,109699.99,41532620.8
2025-07-03 10:56:00,109734.61,109715.22,109750.68,109721.2,42320093.86666667
2025-07-03 10:57:00,109738.82,109697.63,109738.82,109717.91,42217784.88888889
2025-07-03 10:58:00,109713.21,109713.21,109794.86,109790.66,42311267.55555555
